customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment
C106511,102,1,2700.7200000000003,5,1,4,514,10,Potential
C106608,764,1,47.07,1,1,1,111,3,Lost
C106652,439,1,2700.7200000000003,3,1,4,314,8,Potential
C106669,625,1,242.4,2,1,2,212,5,Lost
C106730,166,1,5.23,4,1,1,411,6,Potential
C106742,121,1,650.56,5,1,3,513,9,Potential
C106844,364,1,7502.0,3,1,5,315,9,Potential
C106887,699,1,2700.7200000000003,1,1,4,114,6,Lost
C106947,469,1,2700.7200000000003,3,1,4,314,8,Potential
C107080,110,1,650.56,5,1,3,513,9,Potential
C107188,658,1,60.6,1,1,1,111,3,Lost
C107314,272,1,322.56,4,1,3,413,8,Potential
C107467,797,1,1016.5,1,1,3,113,5,Lost
C107516,762,1,4801.28,1,1,4,114,6,Lost
C107735,608,1,7502.0,2,1,5,215,8,Lost
C107890,320,1,1200.32,3,1,4,314,8,Potential
C107911,674,1,7502.0,1,1,5,115,7,Lost
C107997,523,1,378.75,2,1,3,213,6,Lost
C108056,185,1,650.56,4,1,3,413,8,Potential
C108108,96,1,5401.53,5,1,5,515,11,Potential
C108111,380,1,83.68,3,1,1,311,5,Potential
C108336,544,1,9450.0,2,1,5,215,8,Lost
C108392,462,1,2700.7200000000003,3,1,4,314,8,Potential
C108469,298,1,1016.5,4,1,3,413,8,Potential
C108563,796,1,1050.0,1,1,3,113,5,Lost
C108625,547,1,896.0,2,1,3,213,6,Lost
C108631,647,1,60.6,1,1,1,111,3,Lost
C108702,744,1,9602.72,1,1,5,115,7,Lost
C108720,475,1,242.4,3,1,2,312,6,Potential
C108785,156,1,60.6,5,1,1,511,7,Potential
C108815,505,1,7502.0,2,1,5,215,8,Lost
C108858,273,1,7502.0,4,1,5,415,10,Potential
C108888,187,1,300.08,4,1,2,412,7,Potential
C108902,558,1,26250.0,2,1,5,215,8,Lost
C108951,314,1,1016.5,3,1,3,313,7,Potential
C109025,537,1,20.92,2,1,1,211,4,Lost
C109043,396,1,1200.32,3,1,4,314,8,Potential
C109086,295,1,650.56,4,1,3,413,8,Potential
C109118,478,1,47.07,2,1,1,211,4,Lost
C109140,344,1,40.66,3,1,1,311,5,Potential
C109230,301,1,15004.25,4,1,5,415,10,Potential
C109264,23,1,2700.7200000000003,5,1,4,514,10,Potential
C109294,12,1,40.66,5,1,1,511,7,Potential
C109312,463,1,2700.7200000000003,3,1,4,314,8,Potential
C109314,439,1,5.23,3,1,1,311,5,Potential
C109372,304,1,1200.32,4,1,4,414,9,Potential
C109455,795,1,26250.0,1,1,5,115,7,Lost
C109482,280,1,20.92,4,1,1,411,6,Potential
C109484,639,1,162.64,2,1,2,212,5,Lost
C109519,284,1,4801.28,4,1,4,414,9,Potential
C109544,226,1,322.56,4,1,3,413,8,Potential
C109553,489,1,11.73,2,1,1,211,4,Lost
C109621,542,1,2700.7200000000003,2,1,4,214,7,Lost
C109814,291,1,300.08,4,1,2,412,7,Potential
C109887,224,1,1016.5,4,1,3,413,8,Potential
C109904,675,1,896.0,1,1,3,113,5,Lost
C110014,44,1,650.56,5,1,3,513,9,Potential
C110045,784,1,9602.72,1,1,5,115,7,Lost
C110111,432,1,1016.5,3,1,3,313,7,Potential
C110178,139,1,5.23,5,1,1,511,7,Potential
C110186,658,1,105.57,1,1,2,112,4,Lost
C110201,470,1,365.94,3,1,3,313,7,Potential
C110238,13,1,322.56,5,1,3,513,9,Potential
C110309,145,1,378.75,5,1,3,513,9,Potential
C110392,578,1,896.0,2,1,3,213,6,Lost
C110469,739,1,378.75,1,1,3,113,5,Lost
C110471,71,1,1200.32,5,1,4,514,10,Potential
C110523,292,1,5.23,4,1,1,411,6,Potential
C110573,436,1,7502.0,3,1,5,315,9,Potential
C110742,750,1,2400.68,1,1,4,114,6,Lost
C110796,361,1,2700.7200000000003,3,1,4,314,8,Potential
C110842,489,1,26250.0,2,1,5,215,8,Lost
C110855,292,1,2400.68,4,1,4,414,9,Potential
C110864,264,1,9450.0,4,1,5,415,10,Potential
C110915,251,1,5401.53,4,1,5,415,10,Potential
C110963,794,1,5401.53,1,1,5,115,7,Lost
C110986,449,1,1016.5,3,1,3,313,7,Potential
C111156,182,1,1016.5,4,1,3,413,8,Potential
C111189,786,1,11.73,1,1,1,111,3,Lost
C111283,464,1,7502.0,3,1,5,315,9,Potential
C111351,11,1,300.08,5,1,2,512,8,Potential
C111377,324,1,1016.5,3,1,3,313,7,Potential
C111408,699,1,4801.28,1,1,4,114,6,Lost
C111529,669,1,573.44,1,1,3,113,5,Lost
C111602,563,1,2700.7200000000003,2,1,4,214,7,Lost
C111628,25,1,46.92,5,1,1,511,7,Potential
C111646,272,1,40.66,4,1,1,411,6,Potential
C111658,191,1,143.36,4,1,2,412,7,Potential
C111684,402,1,143.36,3,1,2,312,6,Potential
C111821,380,1,896.0,3,1,3,313,7,Potential
C111928,264,1,1200.32,4,1,4,414,9,Potential
C112106,588,1,4801.28,2,1,4,214,7,Lost
C112114,402,1,4801.28,3,1,4,314,8,Potential
C112124,530,1,7502.0,2,1,5,215,8,Lost
C112167,406,1,896.0,3,1,3,313,7,Potential
C112206,78,1,5.23,5,1,1,511,7,Potential
C112255,470,1,896.0,3,1,3,313,7,Potential
C112319,33,1,7502.0,5,1,5,515,11,Potential
C112375,253,1,15.15,4,1,1,411,6,Potential
C112481,469,1,4801.28,3,1,4,314,8,Potential
C112528,588,1,4801.28,2,1,4,214,7,Lost
C112587,675,1,20.92,1,1,1,111,3,Lost
C112646,168,1,300.08,4,1,2,412,7,Potential
C112806,228,1,15.15,4,1,1,411,6,Potential
C112833,72,1,2700.7200000000003,5,1,4,514,10,Potential
C113067,186,1,1200.32,4,1,4,414,9,Potential
C113107,656,1,2400.68,1,1,4,114,6,Lost
C113167,526,1,187.68,2,1,2,212,5,Lost
C113180,601,1,4801.28,2,1,4,214,7,Lost
C113200,444,1,47.07,3,1,1,311,5,Potential
C113263,549,1,15004.25,2,1,5,215,8,Lost
C113264,729,1,4801.28,1,1,4,114,6,Lost
C113430,119,1,1016.5,5,1,3,513,9,Potential
C113472,47,1,47.07,5,1,1,511,7,Potential
C113491,716,1,4801.28,1,1,4,114,6,Lost
C113708,750,1,896.0,1,1,3,113,5,Lost
C113721,686,1,242.4,1,1,2,112,4,Lost
C113739,50,1,4801.28,5,1,4,514,10,Potential
C113935,74,1,143.36,5,1,2,512,8,Potential
C113957,436,1,105.57,3,1,2,312,6,Potential
C113970,23,1,365.94,5,1,3,513,9,Potential
C113971,218,1,130.75,4,1,2,412,7,Potential
C114015,359,1,365.94,3,1,3,313,7,Potential
C114031,271,1,1200.32,4,1,4,414,9,Potential
C114226,601,1,2700.7200000000003,2,1,4,214,7,Lost
C114406,716,1,378.75,1,1,3,113,5,Lost
C114544,175,1,7502.0,4,1,5,415,10,Potential
C114657,121,1,35.84,5,1,1,511,7,Potential
C114662,302,1,47.07,4,1,1,411,6,Potential
C114933,470,1,300.08,3,1,2,312,6,Potential
C115087,1,1,5401.53,5,1,5,515,11,Potential
C115125,135,1,7502.0,5,1,5,515,11,Potential
C115135,775,1,20.92,1,1,1,111,3,Lost
C115172,237,1,9602.72,4,1,5,415,10,Potential
C115217,739,1,7502.0,1,1,5,115,7,Lost
C115231,640,1,300.08,2,1,2,212,5,Lost
C115240,622,1,187.68,2,1,2,212,5,Lost
C115505,275,1,378.75,4,1,3,413,8,Potential
C115961,281,1,300.08,4,1,2,412,7,Potential
C115968,500,1,378.75,2,1,3,213,6,Lost
C116084,221,1,5.23,4,1,1,411,6,Potential
C116102,398,1,5.23,3,1,1,311,5,Potential
C116129,116,1,83.68,5,1,1,511,7,Potential
C116138,128,1,20.92,5,1,1,511,7,Potential
C116169,599,1,26250.0,2,1,5,215,8,Lost
C116193,124,1,130.75,5,1,2,512,8,Potential
C116240,382,1,650.56,3,1,3,313,7,Potential
C116247,605,1,16800.0,2,1,5,215,8,Lost
C116570,655,1,9602.72,1,1,5,115,7,Lost
C116594,696,1,40.66,1,1,1,111,3,Lost
C116690,115,1,15004.25,5,1,5,515,11,Potential
C116721,587,1,143.36,2,1,2,212,5,Lost
C116741,114,1,162.64,5,1,2,512,8,Potential
C116808,451,1,26250.0,3,1,5,315,9,Potential
C116820,750,1,1016.5,1,1,3,113,5,Lost
C117004,796,1,573.44,1,1,3,113,5,Lost
C117147,354,1,650.56,3,1,3,313,7,Potential
C117165,718,1,2700.7200000000003,1,1,4,114,6,Lost
C117201,241,1,2700.7200000000003,4,1,4,414,9,Potential
C117331,611,1,600.17,2,1,3,213,6,Lost
C117386,40,1,4801.28,5,1,4,514,10,Potential
C117527,732,1,105.57,1,1,2,112,4,Lost
C117551,769,1,300.08,1,1,2,112,4,Lost
C117597,454,1,7502.0,3,1,5,315,9,Potential
C117638,702,1,47.07,1,1,1,111,3,Lost
C117655,627,1,5.23,2,1,1,211,4,Lost
C117662,464,1,7502.0,3,1,5,315,9,Potential
C117700,756,1,1200.32,1,1,4,114,6,Lost
C117735,364,1,1200.32,3,1,4,314,8,Potential
C117752,578,1,5401.53,2,1,5,215,8,Lost
C117800,3,1,4801.28,5,1,4,514,10,Potential
C117849,274,1,7502.0,4,1,5,415,10,Potential
C117880,352,1,1200.32,3,1,4,314,8,Potential
C117904,683,1,9450.0,1,1,5,115,7,Lost
C117913,311,1,187.68,3,1,2,312,6,Potential
C118043,14,1,20.92,5,1,1,511,7,Potential
C118158,146,1,2700.7200000000003,5,1,4,514,10,Potential
C118191,750,1,15004.25,1,1,5,115,7,Lost
C118485,705,1,1016.5,1,1,3,113,5,Lost
C118572,580,1,293.25,2,1,2,212,5,Lost
C118647,123,1,26250.0,5,1,5,515,11,Potential
C118832,194,1,7502.0,4,1,5,415,10,Potential
C118838,100,1,300.08,5,1,2,512,8,Potential
C118931,198,1,650.56,4,1,3,413,8,Potential
C119033,403,1,365.94,3,1,3,313,7,Potential
C119126,549,1,4801.28,2,1,4,214,7,Lost
C119151,233,1,162.64,4,1,2,412,7,Potential
C119373,175,1,2700.7200000000003,4,1,4,414,9,Potential
C119622,776,1,2400.68,1,1,4,114,6,Lost
C119731,246,1,20.92,4,1,1,411,6,Potential
C119748,408,1,130.75,3,1,2,312,6,Potential
C119774,470,1,83.68,3,1,1,311,5,Potential
C119859,625,1,1016.5,2,1,3,213,6,Lost
C119876,190,1,35.84,4,1,1,411,6,Potential
C120022,69,1,2700.7200000000003,5,1,4,514,10,Potential
C120260,755,1,322.56,1,1,3,113,5,Lost
C120312,764,1,4801.28,1,1,4,114,6,Lost
C120337,32,1,47.07,5,1,1,511,7,Potential
C120523,745,1,1016.5,1,1,3,113,5,Lost
C120543,275,1,2700.7200000000003,4,1,4,414,9,Potential
C120562,82,1,83.68,5,1,1,511,7,Potential
C120573,351,1,5401.53,3,1,5,315,9,Potential
C120581,510,1,130.75,2,1,2,212,5,Lost
C120628,309,1,1200.32,4,1,4,414,9,Potential
C120663,281,1,162.64,4,1,2,412,7,Potential
C120691,739,1,60.6,1,1,1,111,3,Lost
C120725,792,1,242.4,1,1,2,112,4,Lost
C120805,571,1,130.75,2,1,2,212,5,Lost
C121032,652,1,7502.0,1,1,5,115,7,Lost
C121247,755,1,1200.32,1,1,4,114,6,Lost
C121320,429,1,4801.28,3,1,4,314,8,Potential
C121358,286,1,600.17,4,1,3,413,8,Potential
C121472,174,1,15004.25,4,1,5,415,10,Potential
C121497,445,1,4801.28,3,1,4,314,8,Potential
C121537,314,1,365.94,3,1,3,313,7,Potential
C121598,688,1,130.75,1,1,2,112,4,Lost
C121839,355,1,162.64,3,1,2,312,6,Potential
C121867,280,1,600.17,4,1,3,413,8,Potential
C121875,240,1,20.92,4,1,1,411,6,Potential
C121907,717,1,896.0,1,1,3,113,5,Lost
C121938,291,1,4801.28,4,1,4,414,9,Potential
C121970,220,1,11.73,4,1,1,411,6,Potential
C122018,600,1,143.36,2,1,2,212,5,Lost
C122048,368,1,130.75,3,1,2,312,6,Potential
C122071,542,1,35.84,2,1,1,211,4,Lost
C122196,539,1,7502.0,2,1,5,215,8,Lost
C122206,642,1,83.68,1,1,1,111,3,Lost
C122279,365,1,105.57,3,1,2,312,6,Potential
C122371,358,1,1200.32,3,1,4,314,8,Potential
C122409,404,1,40.66,3,1,1,311,5,Potential
C122440,440,1,83.68,3,1,1,311,5,Potential
C122528,88,1,143.36,5,1,2,512,8,Potential
C122533,53,1,2700.7200000000003,5,1,4,514,10,Potential
C122535,729,1,322.56,1,1,3,113,5,Lost
C122666,177,1,650.56,4,1,3,413,8,Potential
C122708,313,1,83.68,3,1,1,311,5,Potential
C122758,160,1,1200.32,5,1,4,514,10,Potential
C122771,771,1,26250.0,1,1,5,115,7,Lost
C122797,58,1,2700.7200000000003,5,1,4,514,10,Potential
C123014,16,1,600.17,5,1,3,513,9,Potential
C123034,659,1,2700.7200000000003,1,1,4,114,6,Lost
C123056,416,1,4801.28,3,1,4,314,8,Potential
C123152,546,1,242.4,2,1,2,212,5,Lost
C123251,72,1,4801.28,5,1,4,514,10,Potential
C123272,54,1,130.75,5,1,2,512,8,Potential
C123294,732,1,2700.7200000000003,1,1,4,114,6,Lost
C123389,557,1,300.08,2,1,2,212,5,Lost
C123659,380,1,4801.28,3,1,4,314,8,Potential
C123705,681,1,83.68,1,1,1,111,3,Lost
C123824,734,1,1200.32,1,1,4,114,6,Lost
C123827,373,1,7502.0,3,1,5,315,9,Potential
C123907,781,1,896.0,1,1,3,113,5,Lost
C123916,485,1,1200.32,2,1,4,214,7,Lost
C124207,785,1,15004.25,1,1,5,115,7,Lost
C124256,546,1,600.17,2,1,3,213,6,Lost
C124344,692,1,7502.0,1,1,5,115,7,Lost
C124448,147,1,2700.7200000000003,5,1,4,514,10,Potential
C124508,643,1,4801.28,1,1,4,114,6,Lost
C124636,790,1,47.07,1,1,1,111,3,Lost
C124670,679,1,46.92,1,1,1,111,3,Lost
C124676,345,1,4200.0,3,1,4,314,8,Potential
C124705,598,1,1200.32,2,1,4,214,7,Lost
C124760,647,1,7502.0,1,1,5,115,7,Lost
C124762,13,1,378.75,5,1,3,513,9,Potential
C124766,759,1,573.44,1,1,3,113,5,Lost
C124832,339,1,11.73,3,1,1,311,5,Potential
C124870,330,1,35.84,3,1,1,311,5,Potential
C124894,467,1,4801.28,3,1,4,314,8,Potential
C124898,72,1,1200.32,5,1,4,514,10,Potential
C124947,600,1,650.56,2,1,3,213,6,Lost
C124984,354,1,2700.7200000000003,3,1,4,314,8,Potential
C125015,458,1,293.25,3,1,2,312,6,Potential
C125101,399,1,47.07,3,1,1,311,5,Potential
C125138,191,1,16800.0,4,1,5,415,10,Potential
C125165,464,1,5401.53,3,1,5,315,9,Potential
C125207,603,1,7502.0,2,1,5,215,8,Lost
C125210,698,1,322.56,1,1,3,113,5,Lost
C125266,406,1,650.56,3,1,3,313,7,Potential
C125322,228,1,136.35000000000002,4,1,2,412,7,Potential
C125499,690,1,20.92,1,1,1,111,3,Lost
C125501,376,1,7502.0,3,1,5,315,9,Potential
C125547,262,1,130.75,4,1,2,412,7,Potential
C125624,747,1,300.08,1,1,2,112,4,Lost
C125683,19,1,1200.32,5,1,4,514,10,Potential
C125760,358,1,300.08,3,1,2,312,6,Potential
C125774,436,1,5401.53,3,1,5,315,9,Potential
C125800,63,1,130.75,5,1,2,512,8,Potential
C125815,305,1,293.25,4,1,2,412,7,Potential
C125863,703,1,322.56,1,1,3,113,5,Lost
C126185,526,1,650.56,2,1,3,213,6,Lost
C126211,341,1,365.94,3,1,3,313,7,Potential
C126219,345,1,47.07,3,1,1,311,5,Potential
C126223,603,1,2700.7200000000003,2,1,4,214,7,Lost
C126254,673,1,5401.53,1,1,5,115,7,Lost
C126255,640,1,130.75,2,1,2,212,5,Lost
C126321,232,1,15.15,4,1,1,411,6,Potential
C126328,180,1,7502.0,4,1,5,415,10,Potential
C126399,146,1,4801.28,5,1,4,514,10,Potential
C126548,538,1,7502.0,2,1,5,215,8,Lost
C126571,221,1,46.92,4,1,1,411,6,Potential
C126627,237,1,46.92,4,1,1,411,6,Potential
C126670,181,1,5.23,4,1,1,411,6,Potential
C126690,643,1,130.75,1,1,2,112,4,Lost
C126736,652,1,1200.32,1,1,4,114,6,Lost
C126767,791,1,293.25,1,1,2,112,4,Lost
C126949,357,1,896.0,3,1,3,313,7,Potential
C127037,182,1,2700.7200000000003,4,1,4,414,9,Potential
C127097,348,1,20.92,3,1,1,311,5,Potential
C127304,627,1,293.25,2,1,2,212,5,Lost
C127347,212,1,4200.0,4,1,4,414,9,Potential
C127486,668,1,83.68,1,1,1,111,3,Lost
C127573,39,1,15004.25,5,1,5,515,11,Potential
C127577,217,1,300.08,4,1,2,412,7,Potential
C127683,740,1,2700.7200000000003,1,1,4,114,6,Lost
C127784,555,1,47.07,2,1,1,211,4,Lost
C127883,121,1,365.94,5,1,3,513,9,Potential
C128014,27,1,130.75,5,1,2,512,8,Potential
C128154,671,1,1016.5,1,1,3,113,5,Lost
C128245,599,1,35.84,2,1,1,211,4,Lost
C128274,540,1,293.25,2,1,2,212,5,Lost
C128382,148,1,365.94,5,1,3,513,9,Potential
C128500,252,1,130.75,4,1,2,412,7,Potential
C128502,398,1,2400.68,3,1,4,314,8,Potential
C128507,519,1,1200.32,2,1,4,214,7,Lost
C128639,619,1,5401.53,2,1,5,215,8,Lost
C128660,4,1,1200.32,5,1,4,514,10,Potential
C128759,478,1,162.64,2,1,2,212,5,Lost
C128811,198,1,1200.32,4,1,4,414,9,Potential
C128835,52,1,1200.32,5,1,4,514,10,Potential
C128910,236,1,7502.0,4,1,5,415,10,Potential
C128919,1,1,5.23,5,1,1,511,7,Potential
C128934,522,1,162.64,2,1,2,212,5,Lost
C129016,204,1,15004.25,4,1,5,415,10,Potential
C129188,488,1,242.4,2,1,2,212,5,Lost
C129347,485,1,1200.32,2,1,4,214,7,Lost
C129520,35,1,35.84,5,1,1,511,7,Potential
C129546,278,1,4801.28,4,1,4,414,9,Potential
C129551,389,1,5.23,3,1,1,311,5,Potential
C129651,384,1,300.08,3,1,2,312,6,Potential
C129692,724,1,365.94,1,1,3,113,5,Lost
C129875,576,1,162.64,2,1,2,212,5,Lost
C130037,689,1,2700.7200000000003,1,1,4,114,6,Lost
C130136,168,1,2700.7200000000003,4,1,4,414,9,Potential
C130303,647,1,300.08,1,1,2,112,4,Lost
C130311,453,1,83.68,3,1,1,311,5,Potential
C130331,728,1,4801.28,1,1,4,114,6,Lost
C130428,547,1,365.94,2,1,3,213,6,Lost
C130717,665,1,600.17,1,1,3,113,5,Lost
C130756,405,1,650.56,3,1,3,313,7,Potential
C130768,514,1,322.56,2,1,3,213,6,Lost
C130800,513,1,1016.5,2,1,3,213,6,Lost
C130820,635,1,4801.28,2,1,4,214,7,Lost
C131029,660,1,2700.7200000000003,1,1,4,114,6,Lost
C131068,135,1,4200.0,5,1,4,514,10,Potential
C131095,340,1,16800.0,3,1,5,315,9,Potential
C131168,233,1,650.56,4,1,3,413,8,Potential
C131228,731,1,5401.53,1,1,5,115,7,Lost
C131272,174,1,60.6,4,1,1,411,6,Potential
C131276,172,1,162.64,4,1,2,412,7,Potential
C131405,473,1,7502.0,3,1,5,315,9,Potential
C131506,296,1,1016.5,4,1,3,413,8,Potential
C131523,363,1,47.07,3,1,1,311,5,Potential
C132026,773,1,573.44,1,1,3,113,5,Lost
C132029,9,1,20.92,5,1,1,511,7,Potential
C132054,333,1,2700.7200000000003,3,1,4,314,8,Potential
C132148,14,1,20.92,5,1,1,511,7,Potential
C132254,565,1,35.84,2,1,1,211,4,Lost
C132281,296,1,83.68,4,1,1,411,6,Potential
C132427,557,1,162.64,2,1,2,212,5,Lost
C132528,697,1,300.08,1,1,2,112,4,Lost
C132625,553,1,2400.68,2,1,4,214,7,Lost
C132638,206,1,15004.25,4,1,5,415,10,Potential
C132702,261,1,573.44,4,1,3,413,8,Potential
C132740,780,1,105.57,1,1,2,112,4,Lost
C132886,708,1,5401.53,1,1,5,115,7,Lost
C132930,22,1,130.75,5,1,2,512,8,Potential
C132942,179,1,2400.68,4,1,4,414,9,Potential
C132954,518,1,2700.7200000000003,2,1,4,214,7,Lost
C133188,386,1,20.92,3,1,1,311,5,Potential
C133215,368,1,20.92,3,1,1,311,5,Potential
C133310,20,1,40.66,5,1,1,511,7,Potential
C133494,370,1,130.75,3,1,2,312,6,Potential
C133519,67,1,1200.32,5,1,4,514,10,Potential
C133780,8,1,83.68,5,1,1,511,7,Potential
C133783,94,1,1016.5,5,1,3,513,9,Potential
C133790,310,1,5.23,3,1,1,311,5,Potential
C133807,478,1,40.66,2,1,1,211,4,Lost
C133808,99,1,300.08,5,1,2,512,8,Potential
C133861,612,1,1016.5,2,1,3,213,6,Lost
C134031,504,1,1200.32,2,1,4,214,7,Lost
C134060,322,1,1200.32,3,1,4,314,8,Potential
C134174,784,1,143.36,1,1,2,112,4,Lost
C134212,9,1,162.64,5,1,2,512,8,Potential
C134226,571,1,300.08,2,1,2,212,5,Lost
C134276,719,1,162.64,1,1,2,112,4,Lost
C134277,397,1,15004.25,3,1,5,315,9,Potential
C134331,644,1,40.66,1,1,1,111,3,Lost
