invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
I274429,C195825,Female,33,Technology,4,4200,Cash,17/11/2022,Mall of Istanbul
I257813,C111283,Female,18,Clothing,5,1500.4,Debit Card,30/11/2021,Metropol AVM
I136221,C135858,Male,24,Clothing,1,300.08,Cash,19/02/2023,Mall of Istanbul
I543084,C342147,Female,53,Toys,4,143.36,Cash,24/03/2022,Metrocity
I109459,C318250,Male,38,Technology,3,3150,Credit Card,13/12/2021,Kanyon
I980252,C930868,Male,49,Shoes,5,3000.85,Credit Card,28/10/2021,Istinye Park
I412082,C160427,Male,32,Clothing,5,1500.4,Credit Card,27/01/2021,Mall of Istanbul
I337638,C231725,Male,69,Shoes,1,600.17,Cash,17/10/2021,Zorlu Center
I234752,C194643,Female,44,Shoes,3,1800.51,Credit Card,26/12/2022,Metrocity
I370097,C186152,Female,41,Cosmetics,4,162.64,Debit Card,20/11/2021,Kanyon
I139881,C204505,Female,31,Clothing,3,900.24,Cash,3/2/2023,Metropol AVM
I133351,C230608,Female,41,Toys,4,143.36,Debit Card,4/4/2021,Mall of Istanbul
I252574,C313367,Male,58,Clothing,4,1200.32,Credit Card,27/05/2021,Zorlu Center
I316824,C280886,Male,47,Clothing,1,300.08,Cash,12/8/2022,Mall of Istanbul
I718931,C100540,Male,48,Food & Beverage,2,10.46,Debit Card,5/2/2022,Istinye Park
I312008,C167515,Male,66,Clothing,4,1200.32,Cash,25/01/2022,Istinye Park
I351073,C292448,Male,27,Clothing,3,900.24,Cash,27/02/2021,Istinye Park
I138153,C186426,Female,25,Books,5,75.75,Credit Card,13/07/2022,Mall of Istanbul
I208454,C313265,Female,60,Food & Beverage,3,15.69,Cash,7/3/2021,Kanyon
I985303,C274249,Male,36,Souvenir,1,11.73,Debit Card,28/02/2021,Metrocity
I170403,C960234,Female,18,Toys,4,143.36,Cash,15/04/2021,Zorlu Center
I276581,C194674,Female,47,Cosmetics,1,40.66,Credit Card,14/11/2021,Istinye Park
I413097,C169564,Female,24,Clothing,5,1500.4,Cash,7/6/2022,Emaar Square Mall
I138730,C267095,Male,36,Clothing,5,1500.4,Credit Card,29/12/2022,Kanyon
I309115,C474629,Female,52,Toys,3,107.52,Debit Card,10/8/2021,Mall of Istanbul
I870456,C747093,Female,38,Clothing,5,1500.4,Credit Card,3/1/2022,Metropol AVM
I461149,C218414,Female,49,Clothing,4,1200.32,Cash,25/01/2023,Kanyon
I627548,C980059,Female,28,Cosmetics,5,203.3,Cash,2/8/2022,Mall of Istanbul
I733060,C131523,Female,55,Food & Beverage,3,15.69,Credit Card,11/3/2022,Istinye Park
I206167,C867686,Female,58,Clothing,4,1200.32,Debit Card,26/09/2022,Kanyon
I154659,C115968,Female,37,Books,5,75.75,Credit Card,25/10/2021,Metrocity
I158243,C122071,Male,26,Toys,1,35.84,Cash,13/09/2021,Mall of Istanbul
I669527,C176859,Male,39,Technology,2,2100,Debit Card,7/8/2022,Metrocity
I193616,C105312,Male,31,Shoes,5,3000.85,Credit Card,5/2/2021,Mall of Istanbul
I333087,C337730,Female,50,Toys,3,107.52,Cash,13/07/2022,Cevahir AVM
I215221,C565544,Female,47,Food & Beverage,4,20.92,Credit Card,2/9/2021,Metropol AVM
I128977,C182583,Female,67,Technology,1,1050,Cash,27/10/2021,Mall of Istanbul
I124713,C222479,Male,56,Books,5,75.75,Credit Card,2/8/2022,Kanyon
I763605,C297815,Male,46,Books,4,60.6,Debit Card,13/03/2022,Viaport Outlet
I216940,C207376,Female,35,Clothing,4,1200.32,Cash,8/2/2023,Mall of Istanbul
I223765,C769831,Male,27,Shoes,2,1200.34,Credit Card,25/09/2022,Mall of Istanbul
I187568,C568511,Female,62,Toys,4,143.36,Cash,21/10/2022,Metrocity
I288121,C151343,Female,63,Clothing,4,1200.32,Credit Card,5/1/2023,Mall of Istanbul
I321541,C107080,Male,44,Cosmetics,4,162.64,Cash,19/11/2022,Forum Istanbul
I616360,C198524,Female,65,Food & Beverage,2,10.46,Debit Card,4/9/2021,Metrocity
I759413,C140541,Female,50,Clothing,3,900.24,Cash,1/8/2022,Istinye Park
I278004,C190351,Female,33,Clothing,3,900.24,Cash,26/11/2022,Kanyon
I817174,C171912,Female,37,Cosmetics,2,81.32,Cash,23/06/2021,Kanyon
I334957,C221163,Male,36,Technology,4,4200,Cash,4/7/2022,Kanyon
I266154,C174719,Female,67,Cosmetics,4,162.64,Debit Card,5/2/2022,Zorlu Center
I150967,C296768,Male,21,Clothing,2,600.16,Cash,11/12/2022,Cevahir AVM
I142177,C211063,Male,27,Shoes,1,600.17,Cash,13/01/2022,Mall of Istanbul
I259052,C826598,Male,61,Toys,4,143.36,Cash,10/6/2022,Metrocity
I328046,C995929,Female,30,Cosmetics,3,121.98,Debit Card,17/06/2022,Mall of Istanbul
I231684,C304458,Male,54,Clothing,1,300.08,Cash,12/5/2021,Metropol AVM
I179428,C312755,Female,45,Clothing,5,1500.4,Credit Card,13/10/2022,Viaport Outlet
I332065,C178875,Female,29,Clothing,1,300.08,Credit Card,15/06/2022,Cevahir AVM
I614167,C192647,Female,65,Toys,1,35.84,Cash,21/11/2021,Istinye Park
I300981,C180483,Male,33,Toys,2,71.68,Cash,29/03/2021,Mall of Istanbul
I632642,C266021,Female,52,Souvenir,5,58.65,Cash,12/3/2022,Mall of Istanbul
I635246,C167867,Female,27,Souvenir,5,58.65,Cash,20/04/2022,Metropol AVM
I283737,C770035,Female,33,Clothing,1,300.08,Cash,25/01/2022,Kanyon
I142603,C224302,Female,35,Cosmetics,1,40.66,Debit Card,10/11/2021,Mall of Istanbul
I152024,C883801,Male,40,Food & Beverage,3,15.69,Cash,8/12/2021,Mall of Istanbul
I134968,C287117,Female,29,Clothing,3,900.24,Cash,15/02/2023,Emaar Square Mall
I205825,C727856,Male,28,Books,4,60.6,Cash,18/02/2023,Metropol AVM
I136928,C700338,Female,47,Clothing,2,600.16,Cash,11/6/2021,Kanyon
I719340,C930307,Male,28,Clothing,4,1200.32,Credit Card,16/05/2022,Istinye Park
I257613,C153324,Male,34,Clothing,1,300.08,Cash,17/05/2022,Mall of Istanbul
I186004,C203531,Female,63,Toys,2,71.68,Cash,30/01/2021,Viaport Outlet
I146349,C247966,Female,48,Clothing,3,900.24,Debit Card,1/1/2023,Istinye Park
I288877,C214303,Female,33,Clothing,2,600.16,Credit Card,28/07/2022,Mall of Istanbul
I236336,C173220,Male,21,Cosmetics,2,81.32,Cash,12/6/2022,Kanyon
I166324,C444933,Male,24,Toys,4,143.36,Credit Card,21/01/2023,Metrocity
I218708,C762218,Female,33,Clothing,2,600.16,Cash,30/03/2021,Metropol AVM
I282887,C478916,Male,49,Clothing,5,1500.4,Cash,4/4/2022,Mall of Istanbul
I236222,C301867,Male,46,Clothing,3,900.24,Credit Card,29/05/2021,Viaport Outlet
I255310,C537219,Male,18,Books,4,60.6,Cash,6/11/2021,Kanyon
I858481,C229082,Female,67,Food & Beverage,2,10.46,Debit Card,7/12/2021,Metropol AVM
I171916,C458428,Female,31,Food & Beverage,3,15.69,Debit Card,14/11/2021,Mall of Istanbul
I305817,C713926,Male,27,Cosmetics,5,203.3,Credit Card,20/07/2021,Mall of Istanbul
I914528,C180890,Female,24,Clothing,2,600.16,Cash,1/1/2023,Cevahir AVM
I170203,C422294,Female,65,Clothing,2,600.16,Cash,16/04/2022,Kanyon
I801834,C785915,Male,43,Clothing,5,1500.4,Cash,23/12/2021,Mall of Istanbul
I274762,C101489,Male,60,Clothing,1,300.08,Credit Card,21/01/2023,Metropol AVM
I163557,C315517,Female,44,Food & Beverage,5,26.15,Debit Card,5/9/2022,Istinye Park
I292143,C245544,Female,60,Cosmetics,3,121.98,Cash,23/01/2023,Istinye Park
I156013,C300003,Male,50,Clothing,3,900.24,Credit Card,26/08/2021,Mall of Istanbul
I216933,C777456,Female,36,Shoes,3,1800.51,Credit Card,15/07/2021,Emaar Square Mall
I795996,C195041,Male,67,Clothing,2,600.16,Credit Card,11/8/2022,Metrocity
I253179,C330479,Male,53,Clothing,4,1200.32,Cash,29/05/2021,Kanyon
I122978,C267828,Female,20,Clothing,2,600.16,Credit Card,30/11/2022,Viaport Outlet
I467257,C710530,Male,63,Toys,3,107.52,Cash,26/10/2021,Mall of Istanbul
I338432,C102084,Female,55,Shoes,2,1200.34,Cash,10/2/2023,Metrocity
I690008,C222252,Female,42,Cosmetics,5,203.3,Credit Card,15/12/2021,Metrocity
I122254,C882859,Female,39,Clothing,3,900.24,Debit Card,13/09/2021,Kanyon
I277561,C530789,Female,18,Clothing,1,300.08,Cash,1/6/2021,Metrocity
I566456,C256781,Female,60,Shoes,2,1200.34,Cash,22/03/2022,Istinye Park
I246318,C973833,Female,67,Shoes,5,3000.85,Cash,17/02/2023,Cevahir AVM
I202619,C322465,Male,29,Cosmetics,5,203.3,Debit Card,31/01/2021,Mall of Istanbul
I323865,C255155,Female,29,Cosmetics,3,121.98,Cash,16/03/2021,Metrocity
I177439,C310803,Female,45,Food & Beverage,1,5.23,Credit Card,9/8/2022,Istinye Park
I534268,C236626,Male,50,Shoes,3,1800.51,Cash,26/09/2022,Forum Istanbul
I716987,C132625,Male,68,Shoes,2,1200.34,Cash,2/9/2021,Zorlu Center
I355712,C317765,Female,28,Technology,3,3150,Cash,25/10/2021,Mall of Istanbul
I325654,C185832,Female,61,Shoes,4,2400.68,Cash,10/8/2021,Zorlu Center
I302771,C178882,Female,35,Cosmetics,2,81.32,Credit Card,22/04/2021,Forum Istanbul
I130449,C145727,Female,63,Cosmetics,5,203.3,Debit Card,2/12/2022,Viaport Outlet
I755693,C950908,Female,37,Souvenir,1,11.73,Cash,27/03/2022,Istinye Park
I198763,C290348,Male,57,Toys,1,35.84,Cash,17/06/2021,Emaar Square Mall
I102520,C531894,Female,33,Books,4,60.6,Credit Card,22/01/2021,Emaar Square Mall
I216465,C265692,Male,69,Shoes,5,3000.85,Debit Card,2/9/2021,Metrocity
I183368,C384254,Male,22,Clothing,2,600.16,Credit Card,21/01/2021,Mall of Istanbul
I668981,C361239,Male,69,Toys,4,143.36,Debit Card,23/10/2022,Metrocity
I255757,C209838,Male,66,Shoes,1,600.17,Cash,26/12/2022,Kanyon
I461161,C143455,Male,41,Toys,4,143.36,Cash,20/01/2021,Cevahir AVM
I150565,C215095,Male,43,Clothing,5,1500.4,Debit Card,11/8/2022,Metrocity
I985847,C158756,Female,68,Clothing,4,1200.32,Cash,2/2/2022,Viaport Outlet
I650190,C191650,Female,57,Technology,5,5250,Debit Card,17/10/2022,Kanyon
I460963,C264577,Female,41,Toys,4,143.36,Cash,30/09/2022,Mall of Istanbul
I145297,C111628,Male,19,Souvenir,2,23.46,Credit Card,12/2/2023,Metrocity
I299895,C350520,Female,53,Toys,5,179.2,Cash,7/8/2022,Istinye Park
I287722,C296868,Female,27,Clothing,1,300.08,Credit Card,19/08/2021,Mall of Istanbul
I101010,C766878,Female,56,Clothing,2,600.16,Debit Card,7/3/2022,Emaar Square Mall
I272486,C201303,Male,54,Food & Beverage,3,15.69,Cash,27/01/2023,Zorlu Center
I840255,C292366,Female,63,Clothing,5,1500.4,Credit Card,13/06/2021,Mall of Istanbul
I164646,C100451,Male,32,Shoes,4,2400.68,Cash,30/07/2021,Mall of Istanbul
I333153,C232329,Female,51,Cosmetics,3,121.98,Cash,22/04/2021,Metropol AVM
I171787,C622935,Female,19,Food & Beverage,1,5.23,Cash,17/05/2022,Metrocity
I611127,C206359,Male,40,Clothing,2,600.16,Cash,17/08/2022,Mall of Istanbul
I150878,C239418,Female,29,Toys,4,143.36,Credit Card,8/2/2023,Mall of Istanbul
I392667,C425168,Female,33,Shoes,5,3000.85,Credit Card,26/12/2021,Cevahir AVM
I280487,C105844,Male,23,Clothing,2,600.16,Credit Card,29/06/2021,Emaar Square Mall
I219219,C147815,Female,56,Shoes,2,1200.34,Credit Card,18/05/2022,Forum Istanbul
I321862,C887571,Male,47,Clothing,3,900.24,Debit Card,31/03/2021,Metrocity
I270604,C451915,Male,42,Shoes,5,3000.85,Cash,10/1/2021,Mall of Istanbul
I216118,C211328,Female,63,Toys,1,35.84,Credit Card,31/05/2022,Zorlu Center
I249334,C262245,Female,44,Shoes,3,1800.51,Cash,4/1/2022,Metrocity
I238744,C236920,Female,69,Food & Beverage,2,10.46,Debit Card,17/04/2022,Zorlu Center
I177356,C205521,Female,27,Clothing,4,1200.32,Cash,3/3/2021,Forum Istanbul
I957000,C226443,Female,66,Cosmetics,5,203.3,Credit Card,23/08/2022,Mall of Istanbul
I264581,C984124,Female,49,Food & Beverage,2,10.46,Debit Card,6/1/2022,Mall of Istanbul
I180560,C249438,Female,40,Cosmetics,3,121.98,Cash,7/8/2022,Kanyon
I131456,C259725,Female,31,Food & Beverage,1,5.23,Credit Card,4/3/2022,Kanyon
I175895,C240814,Female,27,Shoes,4,2400.68,Cash,23/04/2022,Kanyon
I296136,C992447,Female,38,Clothing,1,300.08,Debit Card,12/7/2022,Metropol AVM
I146560,C296729,Female,50,Clothing,3,900.24,Credit Card,22/01/2023,Mall of Istanbul
I314907,C320054,Male,46,Shoes,4,2400.68,Credit Card,14/06/2022,Kanyon
I328265,C493882,Male,36,Clothing,1,300.08,Credit Card,21/06/2021,Metropol AVM
I244808,C111602,Female,20,Clothing,3,900.24,Cash,23/08/2021,Kanyon
I165447,C141421,Female,48,Books,1,15.15,Cash,25/03/2021,Zorlu Center
I687512,C947729,Female,45,Clothing,3,900.24,Cash,9/2/2022,Mall of Istanbul
I337145,C172140,Female,37,Clothing,1,300.08,Cash,12/9/2022,Kanyon
I614158,C806389,Female,22,Food & Beverage,2,10.46,Cash,22/05/2021,Zorlu Center
I248270,C262590,Female,52,Clothing,4,1200.32,Debit Card,3/5/2022,Metrocity
I584648,C224565,Male,37,Clothing,2,600.16,Debit Card,15/05/2022,Metrocity
I284425,C172311,Male,36,Clothing,5,1500.4,Cash,6/7/2021,Istinye Park
I205525,C228811,Male,26,Toys,1,35.84,Cash,1/11/2022,Mall of Istanbul
I514820,C176711,Female,51,Souvenir,4,46.92,Cash,10/6/2021,Metropol AVM
I192057,C211679,Male,37,Clothing,1,300.08,Debit Card,16/09/2022,Viaport Outlet
I334520,C297272,Male,63,Toys,1,35.84,Credit Card,6/11/2021,Kanyon
I106894,C232404,Male,26,Food & Beverage,2,10.46,Credit Card,14/12/2021,Istinye Park
I450858,C115240,Male,61,Souvenir,4,46.92,Cash,25/06/2021,Kanyon
I112052,C856387,Male,69,Food & Beverage,5,26.15,Credit Card,20/06/2022,Emaar Square Mall
I216747,C323703,Female,25,Souvenir,5,58.65,Credit Card,6/2/2023,Mall of Istanbul
I138093,C299040,Female,35,Food & Beverage,2,10.46,Credit Card,6/6/2022,Emaar Square Mall
I125590,C100561,Male,66,Shoes,4,2400.68,Cash,23/01/2023,Metropol AVM
I325655,C163532,Male,46,Clothing,2,600.16,Cash,4/6/2021,Metropol AVM
I132360,C195161,Female,31,Souvenir,2,23.46,Credit Card,15/01/2021,Istinye Park
I224962,C223681,Female,60,Clothing,5,1500.4,Debit Card,4/12/2022,Viaport Outlet
I301979,C721560,Male,36,Clothing,2,600.16,Credit Card,22/11/2022,Emaar Square Mall
I332761,C289661,Male,66,Cosmetics,2,81.32,Debit Card,8/11/2022,Mall of Istanbul
I304295,C222140,Male,34,Books,3,45.45,Cash,11/7/2022,Metropol AVM
I128278,C105553,Male,56,Clothing,4,1200.32,Cash,3/4/2022,Metropol AVM
I281181,C318319,Female,36,Clothing,5,1500.4,Cash,17/04/2021,Istinye Park
I167941,C115505,Female,18,Books,5,75.75,Cash,7/6/2022,Mall of Istanbul
I103029,C213516,Female,18,Toys,5,179.2,Cash,21/06/2021,Mall of Istanbul
I290895,C188039,Female,32,Clothing,4,1200.32,Debit Card,25/01/2022,Viaport Outlet
I220851,C149620,Male,62,Shoes,4,2400.68,Cash,20/01/2021,Kanyon
I370390,C513747,Female,31,Technology,1,1050,Credit Card,12/5/2022,Mall of Istanbul
I194267,C486938,Female,18,Books,4,60.6,Credit Card,2/2/2021,Mall of Istanbul
I116368,C430223,Female,22,Toys,1,35.84,Cash,30/12/2022,Mall of Istanbul
I368907,C128502,Female,24,Shoes,2,1200.34,Cash,4/2/2022,Kanyon
I479228,C118832,Male,23,Clothing,5,1500.4,Credit Card,27/08/2022,Metrocity
I506854,C296081,Female,52,Clothing,4,1200.32,Credit Card,28/07/2021,Emaar Square Mall
I156777,C693272,Female,45,Clothing,1,300.08,Debit Card,4/10/2022,Metrocity
I166932,C151703,Female,44,Clothing,3,900.24,Credit Card,19/02/2022,Mall of Istanbul
I143702,C990220,Female,35,Clothing,1,300.08,Credit Card,26/08/2022,Zorlu Center
I133175,C137415,Female,58,Cosmetics,2,81.32,Debit Card,21/08/2022,Kanyon
I313355,C382371,Female,27,Toys,2,71.68,Credit Card,19/03/2021,Metrocity
I221690,C501135,Female,42,Clothing,3,900.24,Cash,18/06/2021,Mall of Istanbul
I339594,C420679,Female,26,Toys,4,143.36,Cash,31/07/2022,Istinye Park
I172528,C337337,Male,44,Shoes,3,1800.51,Cash,23/12/2022,Metropol AVM
I329772,C190094,Female,24,Clothing,5,1500.4,Cash,14/01/2021,Mall of Istanbul
I146022,C268047,Female,57,Clothing,2,600.16,Credit Card,13/04/2022,Forum Istanbul
I139860,C224033,Male,28,Clothing,5,1500.4,Debit Card,8/3/2023,Emaar Square Mall
I806656,C195834,Female,26,Shoes,4,2400.68,Cash,7/5/2022,Mall of Istanbul
I598096,C196206,Male,37,Toys,1,35.84,Credit Card,1/6/2021,Metrocity
I314734,C298742,Male,51,Clothing,5,1500.4,Cash,12/4/2022,Emaar Square Mall
I145979,C195150,Female,63,Clothing,2,600.16,Cash,7/4/2022,Mall of Istanbul
I462964,C259065,Female,20,Clothing,3,900.24,Cash,7/8/2021,Metrocity
I330420,C539871,Male,22,Food & Beverage,5,26.15,Cash,29/05/2021,Emaar Square Mall
I199564,C312583,Female,23,Clothing,1,300.08,Debit Card,14/04/2021,Kanyon
I102049,C282234,Female,58,Cosmetics,4,162.64,Cash,17/02/2022,Metropol AVM
I118304,C286607,Female,50,Food & Beverage,3,15.69,Credit Card,14/04/2022,Mall of Istanbul
I220925,C248548,Female,53,Shoes,4,2400.68,Debit Card,22/12/2022,Metrocity
I240802,C327326,Male,48,Food & Beverage,1,5.23,Cash,11/3/2022,Cevahir AVM
I109849,C332897,Male,50,Toys,4,143.36,Cash,16/01/2023,Cevahir AVM
I169849,C303984,Female,21,Food & Beverage,1,5.23,Cash,17/03/2021,Viaport Outlet
I260199,C141910,Male,22,Toys,3,107.52,Cash,15/07/2021,Mall of Istanbul
I435671,C969814,Female,59,Food & Beverage,2,10.46,Cash,28/11/2021,Kanyon
I162130,C569143,Male,44,Toys,1,35.84,Credit Card,9/9/2022,Emaar Square Mall
I265057,C338868,Female,32,Food & Beverage,1,5.23,Cash,1/1/2023,Emaar Square Mall
I112049,C410940,Female,33,Clothing,1,300.08,Credit Card,21/01/2021,Metropol AVM
I167111,C221713,Male,63,Shoes,3,1800.51,Credit Card,7/10/2022,Kanyon
I195599,C212750,Male,61,Shoes,3,1800.51,Cash,17/12/2021,Metropol AVM
I668401,C221645,Female,32,Cosmetics,3,121.98,Credit Card,6/8/2021,Kanyon
I157247,C108563,Male,25,Technology,1,1050,Credit Card,2/1/2021,Mall of Istanbul
I186145,C323828,Female,23,Clothing,5,1500.4,Credit Card,7/4/2022,Emaar Square Mall
I677719,C113263,Female,48,Shoes,5,3000.85,Cash,6/9/2021,Emaar Square Mall
I315008,C323955,Male,58,Cosmetics,4,162.64,Credit Card,20/04/2021,Cevahir AVM
I317983,C756940,Female,18,Cosmetics,5,203.3,Cash,5/8/2022,Metrocity
I195290,C172215,Female,55,Clothing,2,600.16,Credit Card,15/01/2023,Metrocity
I222600,C451849,Male,55,Clothing,1,300.08,Credit Card,8/10/2021,Kanyon
I155366,C223399,Male,32,Cosmetics,5,203.3,Debit Card,5/9/2022,Istinye Park
I299101,C110045,Female,21,Shoes,4,2400.68,Cash,14/01/2021,Mall of Istanbul
I102534,C522955,Female,46,Clothing,4,1200.32,Debit Card,30/11/2022,Metrocity
