customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_sum,segment,churn_risk,priority_score
C109904,675,1,896,1,1,3,5,Lost,high,15
C110014,44,1,650.56,5,1,3,9,Potential,low,45
C110045,784,1,9602.72,1,1,5,7,Lost,high,30
C110111,432,1,1016.5,3,1,3,7,Potential,high,30
C110178,139,1,5.23,5,1,1,7,Potential,medium,30
C110186,658,1,105.57,1,1,2,4,Lost,high,7.5
C110201,470,1,365.94,3,1,3,7,Potential,high,30
C110238,13,1,322.56,5,1,3,9,Potential,low,45
C110309,145,1,378.75,5,1,3,9,Potential,medium,45
C110392,578,1,896,2,1,3,6,Lost,high,22.5
C110469,739,1,378.75,1,1,3,5,Lost,high,15
C110471,71,1,1200.32,5,1,4,10,Potential,low,52.5
C110523,292,1,5.23,4,1,1,6,Potential,high,22.5
C110573,436,1,7502,3,1,5,9,Potential,high,45
C110742,750,1,2400.68,1,1,4,6,Lost,high,22.5
C110796,361,1,2700.72,3,1,4,8,Potential,high,37.5
C110842,489,1,26250,2,1,5,8,Lost,high,37.5
C110855,292,1,2400.68,4,1,4,9,Potential,high,45
C110864,264,1,9450,4,1,5,10,Potential,high,52.5
C110915,251,1,5401.53,4,1,5,10,Potential,high,52.5
C110963,794,1,5401.53,1,1,5,7,Lost,high,30
C110986,449,1,1016.5,3,1,3,7,Potential,high,30
C111156,182,1,1016.5,4,1,3,8,Potential,high,37.5
C111189,786,1,11.73,1,1,1,3,Lost,high,0
C111283,464,1,7502,3,1,5,9,Potential,high,45
C111351,11,1,300.08,5,1,2,8,Potential,low,37.5
C111377,324,1,1016.5,3,1,3,7,Potential,high,30
C111408,699,1,4801.28,1,1,4,6,Lost,high,22.5
C111529,669,1,573.44,1,1,3,5,Lost,high,15
C111602,563,1,2700.72,2,1,4,7,Lost,high,30
C111628,25,1,46.92,5,1,1,7,Potential,low,30
C111646,272,1,40.66,4,1,1,6,Potential,high,22.5
C111658,191,1,143.36,4,1,2,7,Potential,high,30
C111684,402,1,143.36,3,1,2,6,Potential,high,22.5
C111821,380,1,896,3,1,3,7,Potential,high,30
C111928,264,1,1200.32,4,1,4,9,Potential,high,45
C112106,588,1,4801.28,2,1,4,7,Lost,high,30
C112114,402,1,4801.28,3,1,4,8,Potential,high,37.5
C112124,530,1,7502,2,1,5,8,Lost,high,37.5
C112167,406,1,896,3,1,3,7,Potential,high,30
C112206,78,1,5.23,5,1,1,7,Potential,low,30
C112255,470,1,896,3,1,3,7,Potential,high,30
C112319,33,1,7502,5,1,5,11,Potential,low,60
C112375,253,1,15.15,4,1,1,6,Potential,high,22.5
C112481,469,1,4801.28,3,1,4,8,Potential,high,37.5
C112528,588,1,4801.28,2,1,4,7,Lost,high,30
C112587,675,1,20.92,1,1,1,3,Lost,high,0
C112646,168,1,300.08,4,1,2,7,Potential,medium,30
C112806,228,1,15.15,4,1,1,6,Potential,high,22.5
C112833,72,1,2700.72,5,1,4,10,Potential,low,52.5
C113067,186,1,1200.32,4,1,4,9,Potential,high,45
C113107,656,1,2400.68,1,1,4,6,Lost,high,22.5
C113167,526,1,187.68,2,1,2,5,Lost,high,15
C113180,601,1,4801.28,2,1,4,7,Lost,high,30
C113200,444,1,47.07,3,1,1,5,Potential,high,15
C113263,549,1,15004.25,2,1,5,8,Lost,high,37.5
C113264,729,1,4801.28,1,1,4,6,Lost,high,22.5
C113430,119,1,1016.5,5,1,3,9,Potential,medium,45
C113472,47,1,47.07,5,1,1,7,Potential,low,30
C113491,716,1,4801.28,1,1,4,6,Lost,high,22.5
C113708,750,1,896,1,1,3,5,Lost,high,15
C113721,686,1,242.4,1,1,2,4,Lost,high,7.5
C113739,50,1,4801.28,5,1,4,10,Potential,low,52.5
C113935,74,1,143.36,5,1,2,8,Potential,low,37.5
C113957,436,1,105.57,3,1,2,6,Potential,high,22.5
C113970,23,1,365.94,5,1,3,9,Potential,low,45
C113971,218,1,130.75,4,1,2,7,Potential,high,30
C114015,359,1,365.94,3,1,3,7,Potential,high,30
C114031,271,1,1200.32,4,1,4,9,Potential,high,45
C114226,601,1,2700.72,2,1,4,7,Lost,high,30
C114406,716,1,378.75,1,1,3,5,Lost,high,15
C114544,175,1,7502,4,1,5,10,Potential,medium,52.5
C114657,121,1,35.84,5,1,1,7,Potential,medium,30
C114662,302,1,47.07,4,1,1,6,Potential,high,22.5
C114933,470,1,300.08,3,1,2,6,Potential,high,22.5
C115087,1,1,5401.53,5,1,5,11,Potential,low,60
C115125,135,1,7502,5,1,5,11,Potential,medium,60
C115135,775,1,20.92,1,1,1,3,Lost,high,0
C115172,237,1,9602.72,4,1,5,10,Potential,high,52.5
C115217,739,1,7502,1,1,5,7,Lost,high,30
C115231,640,1,300.08,2,1,2,5,Lost,high,15
C115240,622,1,187.68,2,1,2,5,Lost,high,15
C115505,275,1,378.75,4,1,3,8,Potential,high,37.5
C115961,281,1,300.08,4,1,2,7,Potential,high,30
C115968,500,1,378.75,2,1,3,6,Lost,high,22.5
C116084,221,1,5.23,4,1,1,6,Potential,high,22.5
C116102,398,1,5.23,3,1,1,5,Potential,high,15
C116129,116,1,83.68,5,1,1,7,Potential,medium,30
C116138,128,1,20.92,5,1,1,7,Potential,medium,30
C116169,599,1,26250,2,1,5,8,Lost,high,37.5
C116193,124,1,130.75,5,1,2,8,Potential,medium,37.5
C116240,382,1,650.56,3,1,3,7,Potential,high,30
C116247,605,1,16800,2,1,5,8,Lost,high,37.5
C116570,655,1,9602.72,1,1,5,7,Lost,high,30
C116594,696,1,40.66,1,1,1,3,Lost,high,0
C116690,115,1,15004.25,5,1,5,11,Potential,medium,60
C116721,587,1,143.36,2,1,2,5,Lost,high,15
C116741,114,1,162.64,5,1,2,8,Potential,medium,37.5
C116808,451,1,26250,3,1,5,9,Potential,high,45
C116820,750,1,1016.5,1,1,3,5,Lost,high,15
C117004,796,1,573.44,1,1,3,5,Lost,high,15
C117147,354,1,650.56,3,1,3,7,Potential,high,30
C117165,718,1,2700.72,1,1,4,6,Lost,high,22.5
C117201,241,1,2700.72,4,1,4,9,Potential,high,45
C117331,611,1,600.17,2,1,3,6,Lost,high,22.5
C117386,40,1,4801.28,5,1,4,10,Potential,low,52.5
C117527,732,1,105.57,1,1,2,4,Lost,high,7.5
C117551,769,1,300.08,1,1,2,4,Lost,high,7.5
C117597,454,1,7502,3,1,5,9,Potential,high,45
C117638,702,1,47.07,1,1,1,3,Lost,high,0
C117655,627,1,5.23,2,1,1,4,Lost,high,7.5
C117662,464,1,7502,3,1,5,9,Potential,high,45
C117700,756,1,1200.32,1,1,4,6,Lost,high,22.5
C117735,364,1,1200.32,3,1,4,8,Potential,high,37.5
C117752,578,1,5401.53,2,1,5,8,Lost,high,37.5
C117800,3,1,4801.28,5,1,4,10,Potential,low,52.5
C117849,274,1,7502,4,1,5,10,Potential,high,52.5
C117880,352,1,1200.32,3,1,4,8,Potential,high,37.5
C117904,683,1,9450,1,1,5,7,Lost,high,30
C117913,311,1,187.68,3,1,2,6,Potential,high,22.5
C118043,14,1,20.92,5,1,1,7,Potential,low,30
C118158,146,1,2700.72,5,1,4,10,Potential,medium,52.5
C118191,750,1,15004.25,1,1,5,7,Lost,high,30
C118485,705,1,1016.5,1,1,3,5,Lost,high,15
C118572,580,1,293.25,2,1,2,5,Lost,high,15
C118647,123,1,26250,5,1,5,11,Potential,medium,60
C118832,194,1,7502,4,1,5,10,Potential,high,52.5
C118838,100,1,300.08,5,1,2,8,Potential,medium,37.5
C118931,198,1,650.56,4,1,3,8,Potential,high,37.5
C119033,403,1,365.94,3,1,3,7,Potential,high,30
C119126,549,1,4801.28,2,1,4,7,Lost,high,30
C119151,233,1,162.64,4,1,2,7,Potential,high,30
C119373,175,1,2700.72,4,1,4,9,Potential,medium,45
C119622,776,1,2400.68,1,1,4,6,Lost,high,22.5
C119731,246,1,20.92,4,1,1,6,Potential,high,22.5
C119748,408,1,130.75,3,1,2,6,Potential,high,22.5
C119774,470,1,83.68,3,1,1,5,Potential,high,15
C119859,625,1,1016.5,2,1,3,6,Lost,high,22.5
C119876,190,1,35.84,4,1,1,6,Potential,high,22.5
C120022,69,1,2700.72,5,1,4,10,Potential,low,52.5
C120260,755,1,322.56,1,1,3,5,Lost,high,15
C120312,764,1,4801.28,1,1,4,6,Lost,high,22.5
C120337,32,1,47.07,5,1,1,7,Potential,low,30
C120523,745,1,1016.5,1,1,3,5,Lost,high,15
C120543,275,1,2700.72,4,1,4,9,Potential,high,45
C120562,82,1,83.68,5,1,1,7,Potential,low,30
C120573,351,1,5401.53,3,1,5,9,Potential,high,45
C120581,510,1,130.75,2,1,2,5,Lost,high,15
C120628,309,1,1200.32,4,1,4,9,Potential,high,45
C120663,281,1,162.64,4,1,2,7,Potential,high,30
C120691,739,1,60.6,1,1,1,3,Lost,high,0
C120725,792,1,242.4,1,1,2,4,Lost,high,7.5
C120805,571,1,130.75,2,1,2,5,Lost,high,15
C121032,652,1,7502,1,1,5,7,Lost,high,30
C121247,755,1,1200.32,1,1,4,6,Lost,high,22.5
C121320,429,1,4801.28,3,1,4,8,Potential,high,37.5
C121358,286,1,600.17,4,1,3,8,Potential,high,37.5
C121472,174,1,15004.25,4,1,5,10,Potential,medium,52.5
C121497,445,1,4801.28,3,1,4,8,Potential,high,37.5
C121537,314,1,365.94,3,1,3,7,Potential,high,30
C121598,688,1,130.75,1,1,2,4,Lost,high,7.5
C121839,355,1,162.64,3,1,2,6,Potential,high,22.5
C121867,280,1,600.17,4,1,3,8,Potential,high,37.5
C121875,240,1,20.92,4,1,1,6,Potential,high,22.5
C121907,717,1,896,1,1,3,5,Lost,high,15
C121938,291,1,4801.28,4,1,4,9,Potential,high,45
C121970,220,1,11.73,4,1,1,6,Potential,high,22.5
C122018,600,1,143.36,2,1,2,5,Lost,high,15
C122048,368,1,130.75,3,1,2,6,Potential,high,22.5
C122071,542,1,35.84,2,1,1,4,Lost,high,7.5
C122196,539,1,7502,2,1,5,8,Lost,high,37.5
C122206,642,1,83.68,1,1,1,3,Lost,high,0
C122279,365,1,105.57,3,1,2,6,Potential,high,22.5
C122371,358,1,1200.32,3,1,4,8,Potential,high,37.5
C122409,404,1,40.66,3,1,1,5,Potential,high,15
C122440,440,1,83.68,3,1,1,5,Potential,high,15
C122528,88,1,143.36,5,1,2,8,Potential,low,37.5
C122533,53,1,2700.72,5,1,4,10,Potential,low,52.5
C122535,729,1,322.56,1,1,3,5,Lost,high,15
C122666,177,1,650.56,4,1,3,8,Potential,medium,37.5
C122708,313,1,83.68,3,1,1,5,Potential,high,15
C122758,160,1,1200.32,5,1,4,10,Potential,medium,52.5
C122771,771,1,26250,1,1,5,7,Lost,high,30
C122797,58,1,2700.72,5,1,4,10,Potential,low,52.5
C123014,16,1,600.17,5,1,3,9,Potential,low,45
C123034,659,1,2700.72,1,1,4,6,Lost,high,22.5
C123056,416,1,4801.28,3,1,4,8,Potential,high,37.5
C123152,546,1,242.4,2,1,2,5,Lost,high,15
C123251,72,1,4801.28,5,1,4,10,Potential,low,52.5
C123272,54,1,130.75,5,1,2,8,Potential,low,37.5
C123294,732,1,2700.72,1,1,4,6,Lost,high,22.5
C123389,557,1,300.08,2,1,2,5,Lost,high,15
C123659,380,1,4801.28,3,1,4,8,Potential,high,37.5
C123705,681,1,83.68,1,1,1,3,Lost,high,0
C123824,734,1,1200.32,1,1,4,6,Lost,high,22.5
C123827,373,1,7502,3,1,5,9,Potential,high,45
C123907,781,1,896,1,1,3,5,Lost,high,15
C123916,485,1,1200.32,2,1,4,7,Lost,high,30
C124207,785,1,15004.25,1,1,5,7,Lost,high,30
C124256,546,1,600.17,2,1,3,6,Lost,high,22.5
C124344,692,1,7502,1,1,5,7,Lost,high,30
C124448,147,1,2700.72,5,1,4,10,Potential,medium,52.5
C124508,643,1,4801.28,1,1,4,6,Lost,high,22.5
C124636,790,1,47.07,1,1,1,3,Lost,high,0
C124670,679,1,46.92,1,1,1,3,Lost,high,0
C124676,345,1,4200,3,1,4,8,Potential,high,37.5
C124705,598,1,1200.32,2,1,4,7,Lost,high,30
C124760,647,1,7502,1,1,5,7,Lost,high,30
C124762,13,1,378.75,5,1,3,9,Potential,low,45
C124766,759,1,573.44,1,1,3,5,Lost,high,15
C124832,339,1,11.73,3,1,1,5,Potential,high,15
C124870,330,1,35.84,3,1,1,5,Potential,high,15
C124894,467,1,4801.28,3,1,4,8,Potential,high,37.5
C124898,72,1,1200.32,5,1,4,10,Potential,low,52.5
C124947,600,1,650.56,2,1,3,6,Lost,high,22.5
C124984,354,1,2700.72,3,1,4,8,Potential,high,37.5
C125015,458,1,293.25,3,1,2,6,Potential,high,22.5
C125101,399,1,47.07,3,1,1,5,Potential,high,15
C125138,191,1,16800,4,1,5,10,Potential,high,52.5
C125165,464,1,5401.53,3,1,5,9,Potential,high,45
C125207,603,1,7502,2,1,5,8,Lost,high,37.5
C125210,698,1,322.56,1,1,3,5,Lost,high,15
C125266,406,1,650.56,3,1,3,7,Potential,high,30
C125322,228,1,136.35,4,1,2,7,Potential,high,30
C125499,690,1,20.92,1,1,1,3,Lost,high,0
C125501,376,1,7502,3,1,5,9,Potential,high,45
C125547,262,1,130.75,4,1,2,7,Potential,high,30
C125624,747,1,300.08,1,1,2,4,Lost,high,7.5
C125683,19,1,1200.32,5,1,4,10,Potential,low,52.5
C125760,358,1,300.08,3,1,2,6,Potential,high,22.5
C125774,436,1,5401.53,3,1,5,9,Potential,high,45
C125800,63,1,130.75,5,1,2,8,Potential,low,37.5
C125815,305,1,293.25,4,1,2,7,Potential,high,30
C125863,703,1,322.56,1,1,3,5,Lost,high,15
C126185,526,1,650.56,2,1,3,6,Lost,high,22.5
C126211,341,1,365.94,3,1,3,7,Potential,high,30
C126219,345,1,47.07,3,1,1,5,Potential,high,15
C126223,603,1,2700.72,2,1,4,7,Lost,high,30
C126254,673,1,5401.53,1,1,5,7,Lost,high,30
C126255,640,1,130.75,2,1,2,5,Lost,high,15
C126321,232,1,15.15,4,1,1,6,Potential,high,22.5
C126328,180,1,7502,4,1,5,10,Potential,medium,52.5
C126399,146,1,4801.28,5,1,4,10,Potential,medium,52.5
C126548,538,1,7502,2,1,5,8,Lost,high,37.5
C126571,221,1,46.92,4,1,1,6,Potential,high,22.5
C126627,237,1,46.92,4,1,1,6,Potential,high,22.5
C126670,181,1,5.23,4,1,1,6,Potential,high,22.5
C126690,643,1,130.75,1,1,2,4,Lost,high,7.5
C126736,652,1,1200.32,1,1,4,6,Lost,high,22.5
C126767,791,1,293.25,1,1,2,4,Lost,high,7.5
C126949,357,1,896,3,1,3,7,Potential,high,30
C127037,182,1,2700.72,4,1,4,9,Potential,high,45
C127097,348,1,20.92,3,1,1,5,Potential,high,15
C127304,627,1,293.25,2,1,2,5,Lost,high,15
C127347,212,1,4200,4,1,4,9,Potential,high,45
C127486,668,1,83.68,1,1,1,3,Lost,high,0
C127573,39,1,15004.25,5,1,5,11,Potential,low,60
C127577,217,1,300.08,4,1,2,7,Potential,high,30
C127683,740,1,2700.72,1,1,4,6,Lost,high,22.5
C127784,555,1,47.07,2,1,1,4,Lost,high,7.5
C127883,121,1,365.94,5,1,3,9,Potential,medium,45
C128014,27,1,130.75,5,1,2,8,Potential,low,37.5
C128154,671,1,1016.5,1,1,3,5,Lost,high,15
C128245,599,1,35.84,2,1,1,4,Lost,high,7.5
C128274,540,1,293.25,2,1,2,5,Lost,high,15
C128382,148,1,365.94,5,1,3,9,Potential,medium,45
C128500,252,1,130.75,4,1,2,7,Potential,high,30
C128502,398,1,2400.68,3,1,4,8,Potential,high,37.5
C128507,519,1,1200.32,2,1,4,7,Lost,high,30
C128639,619,1,5401.53,2,1,5,8,Lost,high,37.5
C128660,4,1,1200.32,5,1,4,10,Potential,low,52.5
C128759,478,1,162.64,2,1,2,5,Lost,high,15
C128811,198,1,1200.32,4,1,4,9,Potential,high,45
C128835,52,1,1200.32,5,1,4,10,Potential,low,52.5
C128910,236,1,7502,4,1,5,10,Potential,high,52.5
C128919,1,1,5.23,5,1,1,7,Potential,low,30
C128934,522,1,162.64,2,1,2,5,Lost,high,15
C129016,204,1,15004.25,4,1,5,10,Potential,high,52.5
C129188,488,1,242.4,2,1,2,5,Lost,high,15
C129347,485,1,1200.32,2,1,4,7,Lost,high,30
C129520,35,1,35.84,5,1,1,7,Potential,low,30
C129546,278,1,4801.28,4,1,4,9,Potential,high,45
C129551,389,1,5.23,3,1,1,5,Potential,high,15
C129651,384,1,300.08,3,1,2,6,Potential,high,22.5
C129692,724,1,365.94,1,1,3,5,Lost,high,15
C129875,576,1,162.64,2,1,2,5,Lost,high,15
C130037,689,1,2700.72,1,1,4,6,Lost,high,22.5
C130136,168,1,2700.72,4,1,4,9,Potential,medium,45
C130303,647,1,300.08,1,1,2,4,Lost,high,7.5
C130311,453,1,83.68,3,1,1,5,Potential,high,15
C130331,728,1,4801.28,1,1,4,6,Lost,high,22.5
C130428,547,1,365.94,2,1,3,6,Lost,high,22.5
C130717,665,1,600.17,1,1,3,5,Lost,high,15
C130756,405,1,650.56,3,1,3,7,Potential,high,30
C130768,514,1,322.56,2,1,3,6,Lost,high,22.5
C130800,513,1,1016.5,2,1,3,6,Lost,high,22.5
C130820,635,1,4801.28,2,1,4,7,Lost,high,30
C131029,660,1,2700.72,1,1,4,6,Lost,high,22.5
